Common_Name,Scientific_Name
Ameline swiftlet,Aerodramus amelis
American avocet,Recurvirostra americana
American barn owl,Tyto furcata
American bittern,Botaurus lentiginosus
American black duck,Anas rubripes
American black swift,Cypseloides niger
American bushtit,Psaltriparus minimus
American coot,Fulica americana
American crow,Corvus brachyrhynchos
American dipper,Cinclus mexicanus
American dusky flycatcher,Empidonax oberholseri
American flamingo,Phoenicopterus ruber
American golden plover,Pluvialis dominica
American goldfinch,Spinus tristis
American goshawk,Accipiter atricapillus
American gray flycatcher,Empidonax wrightii
American herring gull,Larus smithsonianus
American kestrel,Falco sparverius
American oystercatcher,Haematopus palliatus
American purple gallinule,Porphyrio martinica
American purple gallinule,Porphyrio martinicus
American pygmy kingfisher,Chloroceryle aenea
American redstart,Setophaga ruticilla
American robin,Turdus migratorius
American three-toed woodpecker,Picoides dorsalis
American tree sparrow,Spizelloides arborea
American white ibis,Eudocimus albus
American white pelican,Pelecanus erythrorhynchos
American wigeon,Mareca americana
American woodcock,Scolopax minor
Amethyst brown dove,Phapitreron amethystinus
Amethyst sunbird,Chalcomitra amethystina
Amethyst woodstar,Calliphlox amethystina
Amethyst-throated mountaingem,Lampornis amethystinus
Amethyst-throated sunangel,Heliangelus amethysticollis
Ampay tapaculo,Scytalopus whitneyi
Amsterdam albatross,Diomedea amsterdamensis
Amur falcon,Falco amurensis
Amur paradise flycatcher,Terpsiphone incei
Anambra waxbill,Estrilda poliopareia
Ancash tapaculo,Scytalopus affinis
Anchieta's barbet,Stactolaema anchietae
Anchieta's sunbird,Anthreptes anchietae
Ancient antwren,Herpsilochmus gentryi
Ancient murrelet,Synthliboramphus antiquus
Andaman boobook,Ninox affinis
Andaman bulbul,Brachypodius fuscoflavescens
Andaman coucal,Centropus andamanensis
Andaman crake,Rallina canningi
Andaman cuckoo-dove,Macropygia rufipennis
Andaman cuckooshrike,Coracina dobsoni
Andaman drongo,Dicrurus andamanensis
Andaman flowerpecker,Dicaeum virescens
Andaman green pigeon,Treron chloropterus
Andaman masked owl,Tyto deroepstorffi
Andaman nightjar,Caprimulgus andamanicus
Andaman scops owl,Otus balli
Andaman serpent eagle,Spilornis elgini
Andaman shama,Copsychus albiventris
Andaman teal,Anas albogularis
Andaman treepie,Dendrocitta bayleii
Andaman wood pigeon,Columba palumboides
Andaman woodpecker,Dryocopus hodgei
Andean avocet,Recurvirostra andina
Andean cock-of-the-rock,Rupicola peruvianus
Andean condor,Vultur gryphus
Andean coot,Fulica ardesiaca
Andean duck,Oxyura ferruginea
Andean emerald,Uranomitra franciae
Andean flamingo,Phoenicoparrus andinus
Andean flicker,Colaptes rupicola
Andean goose,Chloephaga melanoptera
Andean guan,Penelope montagnii
Andean gull,Chroicocephalus serranus
Andean hillstar,Oreotrochilus estella
Andean ibis,Theristicus branickii
Andean laniisoma,Laniisoma buckleyi
Andean lapwing,Vanellus resplendens
Andean motmot,Momotus aequatorialis
Andean negrito,Lessonia oreas
Andean parakeet,Bolborhynchus orbygnesius
Andean potoo,Nyctibius maculosus
Andean pygmy owl,Glaucidium jardinii
Andean siskin,Spinus spinescens
Andean slaty thrush,Turdus nigriceps
Andean solitaire,Myadestes ralloides
Andean swallow,Orochelidon andecola
Andean swift,Aeronautes andecolus
Andean teal,Anas andium
Andean tinamou,Nothoprocta pentlandii
Andean tit-spinetail,Leptasthenura andicola
Angola batis,Batis minulla
Angola cave chat,Xenocopsychus ansorgei
Angola lark,Mirafra angolensis
Angola slaty flycatcher,Melaenornis brunneus
Angola swallow,Hirundo angolensis
Angola waxbill,Coccopygia bocagei
Anhinga,Anhinga anhinga
Anjouan brush warbler,Nesillas longicaudata
Anjouan scops owl,Otus capnodes
Anjouan sunbird,Cinnyris comorensis
Ankober serin,Crithagra ankoberensis
Anna's hummingbird,Calypte anna
Annam limestone babbler,Gypsophila annamensis
Annam prinia,Prinia rocki
Annobón paradise flycatcher,Terpsiphone smithii
Annobón white-eye,Zosterops griseovirescens
Ansorge's greenbul,Eurillas ansorgei
Ant-eating chat,Myrmecocichla formicivora
Antarctic petrel,Thalassoica antarctica
Antarctic prion,Pachyptila desolata
Antarctic shag,Leucocarbo bransfieldensis
Antarctic tern,Sterna vittata
Anteater chat,Myrmecocichla aethiops
Anthony's nightjar,Nyctidromus anthonyi
Antillean crested hummingbird,Orthorhyncus cristatus
Antillean nighthawk,Chordeiles gundlachii
Antillean palm swift,Tachornis phoenicobia
Antillean piculet,Nesoctites micromegas
Antillean siskin,Spinus dominicensis
Antioquia bristle tyrant,Pogonotriccus lanyoni
Antioquia brushfinch,Atlapetes blancae
Antioquia wren,Thryophilus sernai
Antipodean albatross,Diomedea antipodensis
Antipodes parakeet,Cyanoramphus unicolor
Apical flycatcher,Myiarchus apicalis
Aplomado falcon,Falco femoralis
Apo myna,Goodfellowia miranda
Apo sunbird,Aethopyga boltoni
Apolinar's wren,Cistothorus apolinari
Apolo cotinga,Phibalura boliviana
Apostlebird,Struthidea cinerea
Appert's tetraka,Xanthomixis apperti
Apricot-breasted sunbird,Cinnyris buettikoferi
Apurímac brushfinch,Atlapetes forbesi
Apurímac spinetail,Synallaxis courseni
Aquatic warbler,Acrocephalus paludicola
Arabian babbler,Argya squamiceps
Arabian bustard,Ardeotis arabs
Arabian golden sparrow,Passer euchlorus
Arabian golden-winged grosbeak,Rhynchostruthus percivali
Arabian green bee-eater,Merops cyanophrys
Arabian partridge,Alectoris melanocephala
Arabian scops owl,Otus pamelae
Arabian serin,Crithagra rothschildi
Arabian warbler,Curruca leucomelaena
Arabian waxbill,Estrilda rufibarba
Arabian wheatear,Oenanthe lugentoides
Arabian woodpecker,Dendrocoptes dorae
Arafura fantail,Rhipidura dryas
Arafura shrikethrush,Colluricincla megarhyncha
Araripe manakin,Chiroxiphia bokermanni
Araripe manakin,Antilophia bokermanni
Araucaria tit-spinetail,Leptasthenura setaria
Archbold's bowerbird,Archboldia papuensis
Archbold's newtonia,Newtonia archboldi
Archbold's nightjar,Eurostopodus archboldi
Archer's buzzard,Buteo augur archeri
Archer's ground robin,Dessonornis archeri
Archer's lark,Heteromirafra archeri
Arctic redpoll,Acanthis hornemanni
Arctic tern,Sterna paradisaea
Arctic warbler,Phylloscopus borealis
Arfak astrapia,Astrapia nigra
Arfak catbird,Ailuroedus arfakianus
Arfak honeyeater,Melipotes gymnops
Aripuana antwren,Herpsilochmus stotzi
Arizona woodpecker,Leuconotopicus arizonae
Armenian gull,Larus armenicus
Arnot's chat,Myrmecocichla arnotti
Arrow-marked babbler,Turdoides jardineii
Arrowhead piculet,Picumnus minutissimus
Arrowhead warbler,Setophaga pharetra
Ascension crake,Mundia elpenor
Ascension frigatebird,Fregata aquila
Ascension night heron,Nycticorax olsoni
Ash's lark,Mirafra ashi
Ash-breasted antbird,Myrmoborus lugubris
Ash-breasted sierra finch,Geospizopsis plebejus
Ash-breasted tit-tyrant,Anairetes alpinus
Ash-browed spinetail,Cranioleuca curtata
Ash-colored cuckoo,Coccycua cinerea
Ash-colored tapaculo,Myornis senilis
Ash-throated antwren,Herpsilochmus parkeri
Ash-throated casiornis,Casiornis fuscus
Ash-throated crake,Mustelirallus albicollis
Ash-throated flycatcher,Myiarchus cinerascens
Ash-throated gnateater,Conopophaga peruviana
Ash-winged antwren,Euchrepomis spodioptila
Ashambu laughingthrush,Montecincla meridionalis
Ashy bulbul,Hemixos flavala
Ashy cisticola,Cisticola cinereolus
Ashy drongo,Dicrurus leucophaeus
Ashy flowerpecker,Dicaeum vulneratum
Ashy flycatcher,Fraseria caerulescens
Ashy minivet,Pericrocotus divaricatus
Ashy myzomela,Myzomela cineracea
Ashy prinia,Prinia socialis
Ashy robin,Heteromyias albispecularis
Ashy starling,Lamprotornis unicolor
Ashy storm petrel,Hydrobates homochroa
Ashy tailorbird,Orthotomus ruficeps
Ashy thrush,Geokichla cinerea
Ashy tit,Melaniparus cinerascens
Ashy wood pigeon,Columba pulchricollis
Ashy woodpecker,Mulleripicus fulvus
Ashy woodswallow,Artamus fuscus
Ashy-bellied white-eye,Zosterops citrinella
Ashy-breasted flycatcher,Muscicapa randi
Ashy-crowned sparrow-lark,Eremopterix griseus
Ashy-faced owl,Tyto glaucops
Ashy-fronted bulbul,Pycnonotus cinereifrons
Ashy-headed babbler,Pellorneum cinereiceps
Ashy-headed goose,Chloephaga poliocephala
Ashy-headed green pigeon,Treron phayrei
Ashy-headed greenlet,Hylophilus pectoralis
Ashy-headed laughingthrush,Argya cinereifrons
Ashy-headed tyrannulet,Phyllomyias cinereiceps
Ashy-throated chlorospingus,Chlorospingus canigularis
Ashy-throated parrotbill,Sinosuthora alphonsiana
Ashy-throated parrotbill,Suthora alphonsiana
Ashy-throated warbler,Phylloscopus maculipennis
Asian barred owlet,Glaucidium cuculoides
Asian brown flycatcher,Muscicapa dauurica
Asian crimson-winged finch,Rhodopechys sanguineus
Asian desert warbler,Curruca nana
Asian dowitcher,Limnodromus semipalmatus
Asian emerald cuckoo,Chrysococcyx maculatus
Asian fairy-bluebird,Irena puella
Asian glossy starling,Aplonis panayensis
Asian golden weaver,Ploceus weynsi
Asian golden weaver,P. hypoxanthus
Asian golden weaver,Ploceus hypoxanthus
Asian green bee-eater,Merops orientalis
Asian green bee-eater,	Merops orientalis
Asian house martin,Delichon dasypus
Asian koel,Eudynamys scolopaceus
Asian openbill,Anastomus oscitans
Asian palm swift,Cypsiurus balasiensis
Asian red-eyed bulbul,Pycnonotus brunneus
Asian rosy finch,Leucosticte arctoa
Asian short-toed lark,Alaudala cheleensis
Asian stubtail,Urosphena squameiceps
Asian woolly-necked stork,Ciconia episcopus
Asir magpie,Pica asirensis
Assam laughingthrush,Trochalopteron chrysopterum
Atherton scrubwren,Sericornis keri
Athi short-toed lark,Alaudala athensis
Atitlán grebe,Podilymbus gigas
Atiu swiftlet,Aerodramus sawtelli
Atlantic canary,Serinus canaria
Atlantic petrel,Pterodroma incerta
Atlantic puffin,Fratercula arctica
Atlantic royal flycatcher,Onychorhynchus swainsoni
Atlantic yellow-nosed albatross,Thalassarche chlororhynchos
Atlas pied flycatcher,Ficedula speculigera
Atoll fruit dove,Ptilinopus coralensis
Atoll starling,Aplonis feadensis
Auckland rail,Lewinia muelleri
Auckland shag,Leucocarbo colensoi
Auckland teal,Anas aucklandica
Audouin's gull,Ichthyaetus audouinii
Audubon's oriole,Icterus graduacauda
Audubon's shearwater,Puffinus lherminieri
Audubon's warbler,Setophaga auduboni
Augur buzzard,Buteo augur
Austen's brown hornbill,Anorrhinus austeni
Austral blackbird,Curaeus curaeus
Austral canastero,Asthenes anthoides
Austral negrito,Lessonia rufa
Austral parakeet,Enicognathus ferrugineus
Austral pygmy owl,Glaucidium nana
Austral rail,Rallus antarcticus
Austral thrush,Turdus falcklandii
Australasian bittern,Botaurus poiciloptilus
Australasian darter,Anhinga novaehollandiae
Australasian figbird,Sphecotheres vieilloti
Australasian gannet,Morus serrator
Australasian grebe,Tachybaptus novaehollandiae
Australasian shoveler,Spatula rhynchotis
Australasian swamphen,Porphyrio melanotus
Australian boobook,Ninox boobook
Australian brushturkey,Alectura lathami
Australian bustard,Ardeotis australis
Australian crake,Porzana fluminea
Australian golden whistler,Pachycephala pectoralis
Australian hobby,Falco longipennis
Australian king parrot,Alisterus scapularis
Australian logrunner,Orthonyx temminckii
Australian magpie,Gymnorhina tibicen
Australian masked owl,Tyto novaehollandiae
Australian owlet-nightjar,Aegotheles cristatus
Australian painted-snipe,Rostratula australis
Australian pelican,Pelecanus conspicillatus
Australian pied cormorant,Phalacrocorax varius
Australian pipit,Anthus australis
Australian pratincole,Stiltia isabella
Australian raven,Corvus coronoides
Australian reed warbler,Acrocephalus australis
Australian ringneck,Barnardius zonarius
Australian rufous fantail,Rhipidura rufifrons
Australian shelduck,Tadorna tadornoides
Australian swiftlet,Aerodramus terraereginae
Australian tern,Gelochelidon macrotarsa
Australian white ibis,Threskiornis molucca
Australian wood duck,Chenonetta jubata
Australian zebra finch,Taeniopygia castanotis
Ayacucho thistletail,Asthenes ayacuchensis
Ayeyarwady bulbul,Pycnonotus blanfordi
Ayres's hawk-eagle,Hieraaetus ayresii
Azara's spinetail,Synallaxis azarae
Azores bullfinch,Pyrrhula murina
Aztec rail,Rallus tenuirostris
Aztec thrush,Ridgwayia pinicola
Azuero dove,Leptotila battyi
Azure dollarbird,Eurystomus azureus
Azure gallinule,Porphyrio flavirostris
Azure jay,Cyanocorax caeruleus
Azure kingfisher,Ceyx azureus
Azure tit,Cyanistes cyanus
Azure-breasted pitta,Pitta steerii
Azure-crested flycatcher,Myiagra azureocapilla
Azure-crowned hummingbird,Saucerottia cyanocephala
Azure-hooded jay,Cyanolyca cucullata
Azure-naped jay,Cyanocorax heilprini
Azure-rumped parrot,Tanygnathus sumatranus
Azure-rumped tanager,Poecilostreptus cabanisi
Azure-shouldered tanager,Thraupis cyanoptera
Azure-winged magpie,Cyanopica cyanus
Babbling starling,Neocichla gutturalis
Bachman's sparrow,Peucaea aestivalis
Bachman's warbler,Vermivora bachmanii
Baer's pochard,Aythya baeri
Baglafecht weaver,Ploceus weynsi
Baglafecht weaver,P. baglafecht
Baglafecht weaver,Ploceus baglafecht
Bagobo babbler,Leonardina woodi
Bahama mockingbird,Mimus gundlachii
Bahama oriole,Icterus northropi
Bahama swallow,Tachycineta cyaneoviridis
Bahama warbler,Setophaga flavescens
Bahama woodstar,Nesophlox evelynae
Bahama yellowthroat,Geothlypis rostrata
Bahia antwren,Herpsilochmus pileatus
Bahia spinetail,Synallaxis cinerea
Bahia tapaculo,Eleoscytalopus psychopompus
Bahia tyrannulet,Phylloscartes beckeri
Bahian mouse-colored tapaculo,Scytalopus gonzagai
Baikal bush warbler,Locustella davidi
Baikal teal,Sibirionetta formosa
Baillon's crake,Zapornia pusilla
Baird's flycatcher,Myiodynastes bairdii
Baird's junco,Junco bairdi
Baird's sandpiper,Calidris bairdii
Baird's sparrow,Centronyx bairdii
Baird's trogon,Trogon bairdii
Baja pygmy owl,Glaucidium hoskinsii
Bald eagle,Haliaeetus leucocephalus
Bald parrot,Pyrilia aurantiocephala
Balearic shearwater,Puffinus mauretanicus
Balearic warbler,Curruca balearica
Bali myna,Leucopsar rothschildi
Balicassiao,Dicrurus balicassius
Baliem whistler,Pachycephala balim
Balsas screech owl,Megascops seductus
Baltimore oriole,Icterus galbula
Bamboo antshrike,Cymbilaimus sanctaemariae
Bamboo foliage-gleaner,Anabazenops dorsalis
Bamboo warbler,Locustella alfredi
Bamboo woodpecker,Gecinulus viridis
Bamenda apalis,Apalis bamendae
Bananal antbird,Cercomacra ferdinandi
Bananaquit,Coereba flaveola
Banasura laughingthrush,Montecincla jerdoni
Band-backed wren,Campylorhynchus zonatus
Band-bellied crake,Zapornia paykullii
Band-bellied owl,Pulsatrix melanota
Band-rumped storm petrel,Hydrobates castro
Band-rumped swift,Chaetura spinicaudus
Band-tailed antbird,Hypocnemoides maculicauda
Band-tailed antshrike,Thamnophilus melanothorax
Band-tailed antwren,Myrmotherula urosticta
Band-tailed barbthroat,Threnetes ruckeri
Band-tailed cacique,Cacicus latirostris
Band-tailed earthcreeper,Ochetorhynchus phoenicurus
Band-tailed fruiteater,Pipreola intermedia
Band-tailed guan,Penelope argyrotis
Band-tailed hornero,Furnarius figulus
Band-tailed manakin,Pipra fasciicauda
Band-tailed nighthawk,Nyctiprogne leucopyga
Band-tailed pigeon,Patagioenas fasciata
Band-tailed seedeater,Catamenia analis
Band-tailed sierra finch,Rhopospina alaudina
Band-winged nightjar,Systellura longirostris
Banda myzomela,Myzomela boiei
Banded antbird,Dichrozona cincta
Banded barbet,Lybius undatus
Banded bay cuckoo,Cacomantis sonneratii
Banded broadbill,Eurylaimus javanicus
Banded cotinga,Cotinga maculata
Banded fruit dove,Ptilinopus cinctus
Banded green sunbird,Anthreptes rubritorques
Banded ground cuckoo,Neomorphus radiolosus
Banded honeyeater,Cissomela pectoralis
Banded kestrel,Falco zoniventris
Banded kingfisher,Lacedo pulchella
Banded lapwing,Vanellus tricolor
Banded martin,Neophedina cincta
Banded parisoma,Curruca boehmi
Banded prinia,Prinia bairdii
Banded quail,Philortyx fasciatus
Banded stilt,Cladorhynchus leucocephalus
Banded wattle-eye,Platysteira laticincta
Banded whiteface,Aphelocephala nigricincta
Banded woodpecker,Chrysophlegma miniaceum
Banded wren,Thryophilus pleurostictus
Banded yellow robin,Gennaeodryas placens
Banggai crow,Corvus unicolor
Banggai fruit dove,Ptilinopus subgularis
Banggai golden bulbul,Hypsipetes harterti
Banggai jungle flycatcher,Cyornis pelingensis
Bangwa forest warbler,Bradypterus bangwaensis
Bank cormorant,Phalacrocorax neglectus
Bank myna,Acridotheres ginginianus
Bannerman's shearwater,Puffinus bannermani
Bannerman's sunbird,Cyanomitra bannermani
Bannerman's turaco,Tauraco bannermani
Bannerman's weaver,Ploceus bannermani
Bannerman's weaver,P. bannermani
Bannerman's weaver,Ploceus weynsi
Bar-backed partridge,Arborophila brunneopectus
Bar-bellied cuckooshrike,Coracina striata
Bar-bellied pitta,Hydrornis elliotii
Bar-bellied woodcreeper,Hylexetastes stresemanni
Bar-bellied woodpecker,Veniliornis nigriceps
Bar-breasted firefinch,Lagonosticta rufopicta
Bar-breasted honeyeater,Ramsayornis fasciatus
Bar-breasted piculet,Picumnus aurifrons
Bar-crested antshrike,Thamnophilus multistriatus
Bar-headed goose,Anser indicus
Bar-shouldered dove,Geopelia humeralis
Bar-tailed cuckoo-dove,Macropygia nigrirostris
Bar-tailed godwit,Limosa lapponica
Bar-tailed lark,Ammomanes cinctura
Bar-tailed treecreeper,Certhia himalayana
Bar-tailed trogon,Apaloderma vittatum
Bar-throated apalis,Apalis thoracica
Bar-throated minla,Actinodura strigula
Bar-winged flycatcher-shrike,Hemipus picatus
Bar-winged oriole,Icterus maculialatus
Bar-winged prinia,Prinia familiaris
Bar-winged rail,Hypotaenidia poeciloptera
Bar-winged weaver,Ploceus angolensis
Bar-winged weaver,P. angolensis
Bar-winged weaver,Ploceus weynsi
Bar-winged wood wren,Henicorhina leucoptera
Bar-winged wren-babbler,Spelaeornis troglodytoides
Barau's petrel,Pterodroma baraui
Barbados bullfinch,Loxigilla barbadensis
Barbary partridge,Alectoris barbara
Barbuda warbler,Setophaga subita
Bare-cheeked babbler,Turdoides gymnogenys
Bare-cheeked trogon,Apaloderma aequatoriale
Bare-crowned antbird,Gymnocichla nudiceps
Bare-eyed antbird,Rhegmatorhina gymnops
Bare-eyed myna,Streptocitta albertinae
Bare-eyed pigeon,Patagioenas corensis
Bare-eyed rail,Gymnocrex plumbeiventris
Bare-eyed thrush,Turdus tephronotus
Bare-eyed white-eye,Zosterops superciliosus
Bare-faced bulbul,Nok hualon
Bare-faced curassow,Crax fasciolata
Bare-faced go-away-bird,Crinifer personatus
Bare-faced go-away-bird,Corythaixoides personatus
Bare-faced ground dove,Metriopelia ceciliae
Bare-faced ibis,Phimosus infuscatus
Bare-headed laughingthrush,Melanocichla calva
Bare-legged owl,Margarobyas lawrencii
Bare-legged swiftlet,Collocalia nuditarsus
Bare-necked fruitcrow,Gymnoderus foetidus
Bare-necked umbrellabird,Cephalopterus glabricollis
Bare-shanked screech owl,Megascops clarkii
Bare-throated bellbird,Procnias nudicollis
Bare-throated tiger heron,Tigrisoma mexicanum
Bare-throated whistler,Pachycephala nudigula
Barka indigobird,Vidua larvaticola
Barking imperial pigeon,Ducula latrans
Barking owl,Ninox connivens
Barlow's lark,Calendulauda barlowi
Barn swallow,Hirundo rustica
Barnacle goose,Branta leucopsis
Barolo shearwater,Puffinus baroli
Barratt's warbler,Bradypterus barratti
Barred antshrike,Thamnophilus doliatus
Barred antthrush,Chamaeza mollissima
Barred becard,Pachyramphus versicolor
Barred buttonquail,Turnix suscitator
Barred cuckoo-dove,Macropygia unchall
Barred cuckooshrike,Coracina lineata
Barred dove,Geopelia maugeus
Barred eagle-owl,Ketupa sumatrana
Barred eagle-owl,Bubo sumatranus
Barred forest falcon,Micrastur ruficollis
Barred fruiteater,Pipreola arcuata
Barred hawk,Morphnarchus princeps
Barred honey buzzard,Pernis celebensis
Barred honeyeater,Glycifohia undulata
Barred honeyeater,Gliciphila undulata
Barred laughingthrush,Ianthocincla lunulata
Barred long-tailed cuckoo,Cercococcyx montanus
Barred owl,Strix varia
Barred owlet-nightjar,Aegotheles bennettii
Barred parakeet,Bolborhynchus lineola
Barred puffbird,Nystalus radiatus
Barred rail,Hypotaenidia torquata
Barred tinamou,Crypturellus casiquiare
Barred warbler,Curruca nisoria
Barred wren-warbler,Calamonastes fasciolatus
Barrow's goldeneye,Bucephala islandica
Bartlett's tinamou,Crypturellus bartletti
Barusan cuckoo-dove,Macropygia modiglianii
Basra reed warbler,Acrocephalus griseldis
Bassian thrush,Zoothera lunulata
Bat falcon,Falco rufigularis
Bat hawk,Macheiramphus alcinus
Bateleur,Terathopius ecaudatus
Bates's nightjar,Caprimulgus batesi
Bates's paradise flycatcher,Terpsiphone batesi
Bates's sunbird,Cinnyris batesi
Bates's swift,Apus batesi
Bates's weaver,P. batesi
Bates's weaver,Ploceus weynsi
Bates's weaver,Ploceus batesi
Baudin's black cockatoo,Zanda baudinii
Baudo guan,Penelope ortoni
Baudó oropendola,Psarocolius cassini
Baumann's olive greenbul,Phyllastrephus baumanni
Bay antpitta,Grallaria capitalis
Bay coucal,Centropus celebensis
Bay hornero,Furnarius torridus
